time,price,24h_vol,capital_vol
2019-11-01T00:04:03.000Z,0.88808684,13091233.0247099,586469116.1418477
2019-11-01T00:09:04.000Z,0.88713974,13073241.3588258,585843674.8998997
2019-11-01T00:14:02.000Z,0.8860897,13053312.1913189,585150252.6336304
2019-11-01T00:19:02.000Z,0.88667916,13034325.551302,585539517.9316148
2019-11-01T00:24:03.000Z,0.8871378,13008581.2105497,585842393.4693395
2019-11-01T00:29:02.000Z,0.88645235,12979313.5152746,585389740.3347487
2019-11-01T00:34:04.000Z,0.88595027,12959903.2414941,585058177.4785504
2019-11-01T00:39:05.000Z,0.88599121,12961673.711578,585085213.6265805
2019-11-01T00:44:02.000Z,0.8844714,12924804.785561,584081571.8023647
2019-11-01T00:49:03.000Z,0.88297604,12886470.7940761,583094075.6989075
2019-11-01T00:54:04.000Z,0.88496271,12904294.4068052,584406022.054387
2019-11-01T00:59:03.000Z,0.88368265,12863823.448998,583560701.988469
2019-11-01T01:04:06.000Z,0.88293019,12802389.0388069,583063800.7498182
2019-11-01T01:09:03.000Z,0.88422861,12804246.1747093,583921237.8381244
2019-11-01T01:14:01.000Z,0.88666129,12822013.7141823,585527717.5279963
2019-11-01T01:19:06.000Z,0.88935156,12871001.8826143,587304299.094428
2019-11-01T01:24:03.000Z,0.89062706,12879480.097278,588146610.8937335
2019-11-01T01:29:04.000Z,0.88922923,12854561.2938097,587223521.1706322
2019-11-01T01:34:02.000Z,0.88832262,12850698.3334822,586624815.6912487
2019-11-01T01:39:03.000Z,0.88825569,12830005.5905868,586580615.6240857
2019-11-01T01:44:03.000Z,0.88413686,12800962.3417319,583860649.0538456
2019-11-01T01:49:02.000Z,0.8869082,12813404.0856554,585690768.4713507
2019-11-01T01:54:02.000Z,0.88478962,12761876.7574376,584291713.9734606
2019-11-01T01:59:03.000Z,0.88315634,12724915.4357834,583213144.7605591
2019-11-01T02:04:02.000Z,0.88274665,12685537.2773792,582942592.3246435
2019-11-01T02:09:02.000Z,0.8854594,12700375.8675327,584734020.6628821
2019-11-01T02:14:04.000Z,0.88232524,12636463.8353557,582664306.1556227
2019-11-01T02:19:03.000Z,0.88018214,12616861.7520948,581249061.2362844
2019-11-01T02:24:03.000Z,0.88311024,12632708.8288861,583182698.4986682
2019-11-01T02:29:03.000Z,0.88314117,12610845.1342614,583203124.2031637
2019-11-01T02:34:03.000Z,0.88348624,12587037.0185677,583431000.5345913
2019-11-01T02:39:05.000Z,0.88313195,12582382.7396819,583197038.0394851
2019-11-01T02:44:03.000Z,0.88011827,12560803.7354426,581206879.0080509
2019-11-01T02:49:02.000Z,0.88077535,12549516.6495474,581640801.170135
2019-11-01T02:54:02.000Z,0.87954487,12460821.5843852,580828222.0660139
2019-11-01T02:59:01.000Z,0.87861136,12416379.9067208,580211755.7960724
2019-11-01T03:04:02.000Z,0.88407189,12465745.868486,583817745.5688552
2019-11-01T03:09:06.000Z,0.88494553,12459203.4414296,584394675.3512135
2019-11-01T03:14:02.000Z,0.88083038,12371831.0169191,581677139.946426
2019-11-01T03:19:01.000Z,0.88354967,12409730.3939365,583472883.7271627
2019-11-01T03:24:05.000Z,0.88433514,12430772.5137592,583991593.8829336
2019-11-01T03:29:03.000Z,0.88568416,12419746.0130776,584882450.0046613
2019-11-01T03:34:05.000Z,0.88655464,12444168.6846912,585457289.1359562
2019-11-01T03:39:03.000Z,0.88482276,12435164.0628281,584313598.7747725
2019-11-01T03:44:03.000Z,0.88552045,12423881.7239942,584774337.0087768
2019-11-01T03:49:02.000Z,0.8854351,12397900.3676215,584717977.9320111
2019-11-01T03:54:02.000Z,0.88652275,12413723.2859714,585436228.7926083
