time,price,24h_vol,capital_vol
2019-11-01T00:04:03.000Z,0.01987672,1064565438.5042,1325420794.6356587
2019-11-01T00:09:04.000Z,0.01986587,1064911758.2315,1324697132.2816517
2019-11-01T00:14:02.000Z,0.01986929,1065819800.07979,1324925598.15067
2019-11-01T00:19:02.000Z,0.01986147,1065799972.92594,1324404091.8606744
2019-11-01T00:24:03.000Z,0.01980124,1063428071.19958,1320387740.638457
2019-11-01T00:29:02.000Z,0.01978708,1061613664.1541,1319443397.0272398
2019-11-01T00:34:03.000Z,0.01981163,1060780826.9133,1321080590.5872235
2019-11-01T00:39:04.000Z,0.01982157,1060154516.7131,1321743358.1527388
2019-11-01T00:44:02.000Z,0.01986001,1062344149.17318,1324306398.7440176
2019-11-01T00:49:03.000Z,0.01987475,1062814399.64327,1325289358.9834812
2019-11-01T00:54:04.000Z,0.01993026,1065372661.5922,1328990852.8110235
2019-11-01T00:59:03.000Z,0.01990872,1063123922.29559,1327554771.9339995
2019-11-01T01:04:06.000Z,0.01991854,1056168014.33826,1328209714.1849697
2019-11-01T01:09:02.000Z,0.01999238,1059049569.44719,1333133647.1986735
2019-11-01T01:14:01.000Z,0.02001486,1059223987.15759,1334632648.658874
2019-11-01T01:19:05.000Z,0.02005928,1062757385.06261,1337594048.2561617
2019-11-01T01:24:03.000Z,0.02007705,1063427478.16111,1338778965.226918
2019-11-01T01:29:04.000Z,0.02000907,1061534789.47235,1334246234.7058578
2019-11-01T01:34:02.000Z,0.01993376,1057221613.37365,1329224101.0315728
2019-11-01T01:39:02.000Z,0.01997808,1059117828.52992,1332179940.6910176
2019-11-01T01:44:03.000Z,0.02001077,1060624880.48707,1334359765.0213747
2019-11-01T01:49:03.000Z,0.01997453,1059721114.31423,1331943320.5047784
2019-11-01T01:54:02.000Z,0.01993075,1056786146.96573,1329023528.113315
2019-11-01T01:59:03.000Z,0.01991388,1054783353.89817,1327898933.1387184
2019-11-01T02:04:01.000Z,0.01987938,1047886411.60777,1325598151.863741
2019-11-01T02:09:02.000Z,0.01991454,1049917822.67355,1327942858.400082
2019-11-01T02:14:04.000Z,0.01987866,1049416546.46263,1325549949.8676586
2019-11-01T02:19:03.000Z,0.01984839,1049045647.16981,1323531551.7648528
2019-11-01T02:24:03.000Z,0.01986425,1049942765.42484,1324589238.3149643
2019-11-01T02:29:02.000Z,0.01981677,1048484585.71718,1321423015.0973814
2019-11-01T02:34:03.000Z,0.01977561,1038559263.98556,1318678574.917449
2019-11-01T02:39:05.000Z,0.01977791,1039509739.48624,1318832029.5099845
2019-11-01T02:44:02.000Z,0.01978146,1039191616.11973,1319068781.9467778
2019-11-01T02:49:01.000Z,0.01976601,1038310664.60304,1318038832.3913968
2019-11-01T02:54:02.000Z,0.01980475,1047050059.97081,1320622077.083752
2019-11-01T02:59:01.000Z,0.01984981,1048715435.52346,1323626603.3645751
2019-11-01T03:04:01.000Z,0.01983415,1042845981.34536,1322582053.396068
2019-11-01T03:09:06.000Z,0.01983749,1045502847.34659,1322804756.2336564
2019-11-01T03:14:01.000Z,0.01981521,1045838613.56362,1321319554.694978
2019-11-01T03:19:01.000Z,0.01980497,1047145729.4116,1320636513.3722935
2019-11-01T03:24:05.000Z,0.01974031,1044939374.27506,1316324609.415347
2019-11-01T03:29:03.000Z,0.01968777,1043884754.30604,1312821618.3677993
2019-11-01T03:34:06.000Z,0.01964872,1043326855.43136,1310217261.7179596
2019-11-01T03:39:02.000Z,0.01964211,1044024782.03303,1309776790.0360143
2019-11-01T03:44:03.000Z,0.01968937,1046228998.18733,1312928212.634218
2019-11-01T03:49:02.000Z,0.01966704,1045316162.09534,1311438956.2254114
2019-11-01T03:54:02.000Z,0.01963463,1043620632.7018,1309277990.965389
2019-11-01T03:59:02.000Z,0.0196293,1043324561.26871,1308922444.5770237
2019-11-01T04:04:02.000Z,0.01963687,1037427969.44644,1309426982.4334776
2019-11-01T04:09:03.000Z,0.0195415,1036235751.45077,1303067525.1380064
2019-11-01T04:14:03.000Z,0.01958306,1038572454.30074,1305838882.9367023
2019-11-01T04:19:04.000Z,0.01961865,1040576497.56195,1308212163.2877705
2019-11-01T04:24:02.000Z,0.01965846,1042394903.5748,1310867053.4990194
2019-11-01T04:29:07.000Z,0.01967672,1042408729.12406,1312084796.6535923
2019-11-01T04:34:01.000Z,0.01964781,1041728750.13493,1310156768.6756167
2019-11-01T04:39:05.000Z,0.01961257,1040151877.71739,1307806950.418317
2019-11-01T04:44:04.000Z,0.01965474,1041809299.63358,1310618968.7641313
2019-11-01T04:49:01.000Z,0.01966806,1042207209.71104,1311506695.8952723
2019-11-01T04:54:03.000Z,0.01966697,1039926424.99054,1311434131.2306952
2019-11-01T04:59:05.000Z,0.01967236,1039538026.19285,1311793884.6576772
2019-11-01T05:04:02.000Z,0.01967832,1028731593.51587,1312191170.7891538
2019-11-01T05:09:03.000Z,0.01968681,1029697214.49171,1312757191.6766675
2019-11-01T05:14:03.000Z,0.0196728,1028403334.68131,1311823165.1156597
2019-11-01T05:19:06.000Z,0.01973404,1028907409.00436,1315906755.7588322
2019-11-01T05:24:05.000Z,0.0197147,1027347637.69368,1314617021.7855914
2019-11-01T05:29:04.000Z,0.0197503,1028255423.35554,1316990985.5478814
2019-11-01T05:34:01.000Z,0.01971612,1026891115.57632,1314712011.8777702
2019-11-01T05:39:03.000Z,0.01968104,1022726887.33229,1312372472.7085762
2019-11-01T05:44:02.000Z,0.01968976,1021673882.17061,1312953924.1276643
2019-11-01T05:49:01.000Z,0.01968056,1019282460.91962,1312340854.7105532
2019-11-01T05:54:04.000Z,0.0196938,1019584354.89187,1313223070.5417547
2019-11-01T05:59:06.000Z,0.01969553,1017980967.97426,1313338845.6425498
2019-11-01T06:04:04.000Z,0.01968465,1009840896.21293,1312612958.8613012
2019-11-01T06:09:01.000Z,0.01966049,1008404578.06051,1311002474.1985273
2019-11-01T06:14:05.000Z,0.01965882,1007456399.32261,1310890579.3408494
2019-11-01T06:19:01.000Z,0.01977707,1011307888.85374,1318775900.7825937
2019-11-01T06:24:02.000Z,0.01978641,1011794541.38452,1319398944.5040631
2019-11-01T06:29:05.000Z,0.01972435,1009521487.77518,1315260603.2518854
2019-11-01T06:34:04.000Z,0.01973262,1009267029.48647,1315812031.9214997
2019-11-01T06:39:08.000Z,0.01972673,1007685448.48339,1315419281.2178407
2019-11-01T06:44:02.000Z,0.01971677,1005959040.14631,1314755284.2616332
2019-11-01T06:49:02.000Z,0.0197137,1005133323.5597,1314550541.6000416
2019-11-01T06:54:03.000Z,0.01970561,1004403405.59687,1314011224.3418539
2019-11-01T06:59:02.000Z,0.01970264,1004105844.94885,1313812935.364587
2019-11-01T07:04:03.000Z,0.01970655,996730750.990803,1314073355.0958898
2019-11-01T07:09:04.000Z,0.01964711,994209999.907292,1310110113.7236137
2019-11-01T07:14:02.000Z,0.01962711,993711432.249474,1308776347.424274
2019-11-01T07:19:02.000Z,0.01962345,992959379.384982,1308532595.2036574
2019-11-01T07:24:03.000Z,0.0196189,992967648.963394,1308229033.371924
2019-11-01T07:29:03.000Z,0.01960647,992073535.960565,1307399784.624347
2019-11-01T07:34:03.000Z,0.01961317,991107383.719291,1307847067.306501
2019-11-01T07:39:02.000Z,0.01962816,991470556.321415,1308846538.4271317
2019-11-01T07:44:03.000Z,0.0196449,992439236.20314,1309962791.8145757
2019-11-01T07:49:03.000Z,0.01965533,992971949.396534,1310657937.4870553
2019-11-01T07:54:03.000Z,0.01967005,993352440.869526,1311639551.5888548
2019-11-01T07:59:04.000Z,0.01964562,990554687.36864,1310010635.5078795
2019-11-01T08:04:03.000Z,0.01967617,986862788.453648,1312047555.156375
2019-11-01T08:09:01.000Z,0.01965009,984639060.494682,1310308647.344067
2019-11-01T08:14:01.000Z,0.01971981,986671432.852266,1314958106.7996194
2019-11-01T08:19:04.000Z,0.01972811,988806007.631163,1315511555.8760073
2019-11-01T08:24:05.000Z,0.01974685,989456127.455471,1316760665.0770617
