time,price,24h_vol,capital_vol
2019-11-01T00:04:06.000Z,3.9497727,167697304.055995,953017141.0092672
2019-11-01T00:09:06.000Z,3.95182192,167911915.52408,953511585.4297365
2019-11-01T00:14:03.000Z,3.94482072,167681674.457861,951822307.753104
2019-11-01T00:19:04.000Z,3.94661643,167725978.969766,952255584.440614
2019-11-01T00:24:07.000Z,3.94606468,167799233.031381,952122456.6264027
2019-11-01T00:29:03.000Z,3.95478668,168131509.497388,954226936.1444129
2019-11-01T00:34:06.000Z,3.9545946,168063160.913356,954180588.692893
2019-11-01T00:39:07.000Z,3.94968436,167889254.034525,952995825.5084667
2019-11-01T00:44:03.000Z,3.94731342,167697865.769238,952423755.6959279
2019-11-01T00:49:05.000Z,3.94259681,167318318.599629,951285713.3211299
2019-11-01T00:54:06.000Z,3.94907316,167312073.289453,952848353.9463959
2019-11-01T00:59:06.000Z,3.94979715,167205466.430829,953023040.8361142
2019-11-01T01:04:10.000Z,3.94662628,166983064.660366,952257960.0678452
2019-11-01T01:09:04.000Z,3.94714007,166950060.587635,952381929.3645592
2019-11-01T01:14:02.000Z,3.94863425,166925354.054928,952742451.8640002
2019-11-01T01:19:09.000Z,3.95820429,167240155.246996,955051549.5143243
2019-11-01T01:24:04.000Z,3.95689484,167156259.911128,954735601.282006
2019-11-01T01:29:05.000Z,3.95391395,167062452.684024,954016359.1309816
2019-11-01T01:34:03.000Z,3.94992213,167024264.038744,953053197.5924315
2019-11-01T01:39:04.000Z,3.95208239,167226767.256007,953574431.8674984
2019-11-01T01:44:04.000Z,3.93519904,167178364.045354,949500750.291108
2019-11-01T01:49:03.000Z,3.9361581,167315961.875902,949732156.5480127
2019-11-01T01:54:04.000Z,3.9076117,167368761.755355,942844364.7536724
2019-11-01T01:59:04.000Z,3.90023514,167497713.402993,941064519.3582867
2019-11-01T02:04:02.000Z,3.91105639,168338171.783253,943675514.7207463
2019-11-01T02:09:03.000Z,3.93029497,169378293.809438,948317475.1029863
2019-11-01T02:14:07.000Z,3.94121714,170120409.258389,950952821.33886
2019-11-01T02:19:04.000Z,3.93450142,170416538.592782,949332425.8349013
2019-11-01T02:24:06.000Z,3.93448693,170628345.672768,949328929.9644456
2019-11-01T02:29:06.000Z,3.94302479,171222914.233995,951388977.7369938
2019-11-01T02:34:04.000Z,3.9265689,171208872.739998,947418434.6985798
2019-11-01T02:39:08.000Z,3.92330123,171371884.981875,946629998.9471493
2019-11-01T02:44:05.000Z,3.92370436,171363775.256249,946727265.9850261
2019-11-01T02:49:02.000Z,3.92318551,171363036.495885,946602075.7162365
2019-11-01T02:54:02.000Z,3.92654191,171494592.548378,947411922.3697668
2019-11-01T02:59:02.000Z,3.93059719,171735141.942922,948390396.4888358
2019-11-01T03:04:02.000Z,3.93283193,172217452.349053,948929603.5927273
2019-11-01T03:09:10.000Z,3.93738817,172455576.195934,950028951.0904906
2019-11-01T03:14:03.000Z,3.93432747,172298671.937073,949290454.4170225
2019-11-01T03:19:02.000Z,3.92887397,172254859.769473,947974611.080275
2019-11-01T03:24:07.000Z,3.92537344,172300239.953514,947129990.432363
2019-11-01T03:29:05.000Z,3.92055946,172450530.034104,945968452.0921348
2019-11-01T03:34:09.000Z,3.92779014,172701914.477623,947713099.9793155
2019-11-01T03:39:06.000Z,3.92096961,172525924.686801,946067414.8791194
2019-11-01T03:44:04.000Z,3.92530762,172599714.561233,947114107.0220459
2019-11-01T03:49:02.000Z,3.92470447,172143023.879037,946968577.2729669
2019-11-01T03:54:04.000Z,3.92390688,171619407.105162,946776132.8183993
2019-11-01T03:59:05.000Z,3.92064845,171154319.486682,945989924.9945834
2019-11-01T04:04:04.000Z,3.91394491,170797798.001523,944372467.1094196
2019-11-01T04:09:06.000Z,3.91546537,170930692.06029,944739331.3233112
2019-11-01T04:14:04.000Z,3.91329614,170912180.446301,944215929.6177788
2019-11-01T04:19:06.000Z,3.90963683,170973367.024994,943332995.9682677
2019-11-01T04:24:03.000Z,3.90555953,170857623.986332,942349210.0894825
2019-11-01T04:29:09.000Z,3.90851788,171077641.463538,943063011.7461003
2019-11-01T04:34:02.000Z,3.91019257,170964478.129925,943467086.5444318
2019-11-01T04:39:06.000Z,3.91238881,170926143.705784,943997004.4899915
2019-11-01T04:44:08.000Z,3.9110815,170648617.485749,943681572.11814
2019-11-01T04:49:02.000Z,3.90822718,170113246.694742,942992870.0538113
2019-11-01T04:54:05.000Z,3.90973709,169855700.240718,943357187.9657882
2019-11-01T04:59:08.000Z,3.91223448,169427588.718236,943959768.9688452
2019-11-01T05:04:04.000Z,3.91028602,169067440.209605,943489634.770254
2019-11-01T05:09:05.000Z,3.91048785,168756785.979423,943538335.235864
2019-11-01T05:14:06.000Z,3.91067169,168841042.276197,943582692.2460054
2019-11-01T05:19:08.000Z,3.9093562,167972816.704921,943265285.3816508
2019-11-01T05:24:09.000Z,3.9102832,167775728.282727,943488956.3084681
2019-11-01T05:29:07.000Z,3.91255564,167816758.936681,944037258.7665191
2019-11-01T05:34:03.000Z,3.91169715,167879568.678163,943830118.5041264
2019-11-01T05:39:06.000Z,3.91434382,167483251.584963,944468718.5200089
2019-11-01T05:44:03.000Z,3.91637848,167268449.648045,944959648.2160869
2019-11-01T05:49:02.000Z,3.91407165,166904964.43552,944403047.0248729
2019-11-01T05:54:07.000Z,3.9144142,166674906.475195,944485700.7258117
2019-11-01T05:59:08.000Z,3.91482797,166528329.415222,944585536.3505977
2019-11-01T06:04:06.000Z,3.91612223,166388212.78887,944897819.6471413
2019-11-01T06:09:02.000Z,3.91358167,165956851.459363,944284822.5830882
2019-11-01T06:14:07.000Z,3.91397973,165796901.434005,944380867.8526518
2019-11-01T06:19:02.000Z,3.90861664,164970035.836941,943086840.8500013
2019-11-01T06:24:04.000Z,3.9060478,164785913.326944,942467020.1693476
2019-11-01T06:29:06.000Z,3.91146705,164953507.232891,943774600.3695675
2019-11-01T06:34:05.000Z,3.90225927,164716816.728277,941552909.6893665
2019-11-01T06:39:10.000Z,3.90286981,164642832.365575,941700222.6868001
2019-11-01T06:44:03.000Z,3.89936213,164407967.76831,940853875.786651
2019-11-01T06:49:06.000Z,3.91142915,164877136.59269,943765454.6883814
2019-11-01T06:54:04.000Z,3.92558139,165494794.743757,947180164.2628133
2019-11-01T06:59:03.000Z,3.92490227,165754520.362915,947016303.3057147
2019-11-01T07:04:06.000Z,3.92646481,165780366.17643,947393319.4083508
2019-11-01T07:09:06.000Z,3.93083924,166179871.28921,948448799.9559364
2019-11-01T07:14:05.000Z,3.9177491,165930168.496177,945290359.0677829
2019-11-01T07:19:03.000Z,3.91882033,166124320.399318,945548828.0715424
2019-11-01T07:24:04.000Z,3.92031858,165918979.547892,945910332.9734578
2019-11-01T07:29:06.000Z,3.92455713,166080196.185406,946933026.7107059
2019-11-01T07:34:05.000Z,3.92416184,166036275.178724,946837650.7437857
2019-11-01T07:39:03.000Z,3.9335146,166425881.842169,949094320.87656
2019-11-01T07:44:06.000Z,3.93509449,166212876.847045,949475523.9740247
2019-11-01T07:49:07.000Z,3.93902097,166350369.596593,950422920.8646781
2019-11-01T07:54:06.000Z,3.93960237,166444513.578228,950563202.360002
2019-11-01T07:59:08.000Z,3.92558985,166453399.043979,947182206.0856297
2019-11-01T08:04:06.000Z,3.92405037,166572125.568339,946810753.6746219
2019-11-01T08:09:04.000Z,3.92177878,166465093.134591,946262655.866461
2019-11-01T08:14:03.000Z,3.93013093,166856250.778564,948277894.9620218
2019-11-01T08:19:05.000Z,3.93320326,167259739.159962,949019201.0841991
2019-11-01T08:24:08.000Z,3.94357526,167773823.319481,951521797.1491747
2019-11-01T08:29:03.000Z,3.94242829,167989620.924889,951245053.6681007
2019-11-01T08:34:02.000Z,3.94544881,168298802.938011,951973857.1434491
2019-11-01T08:39:03.000Z,3.93699935,168210522.20624,949935135.874254
2019-11-01T08:44:02.000Z,3.93712733,168272851.610566,949966015.1628885
2019-11-01T08:49:03.000Z,3.92813588,168345322.050377,947796521.0503861
2019-11-01T08:54:07.000Z,3.92318432,168404019.143323,946601789.4640816
2019-11-01T08:59:02.000Z,3.92769798,168561738.545299,947690864.2742424
2019-11-01T09:04:08.000Z,3.92523823,168781119.272433,947097366.3005557
2019-11-01T09:09:02.000Z,3.92309004,168949284.625274,946579040.6226386
2019-11-01T09:14:03.000Z,3.91790996,168839972.36676,945329171.1195893
2019-11-01T09:19:08.000Z,3.91172379,168523178.055024,943836547.5827045
2019-11-01T09:24:07.000Z,3.90775065,168697834.483965,942877891.6811086
2019-11-01T09:29:05.000Z,3.90559113,168472104.617197,942356833.2442038
2019-11-01T09:34:06.000Z,3.91373396,168394659.886562,944321569.0649023
2019-11-01T09:39:05.000Z,3.91517382,168387044.126305,944668983.0580982
2019-11-01T09:44:02.000Z,3.91285852,167781310.640667,944110338.4009236
2019-11-01T09:49:02.000Z,3.91360448,166636878.276266,944290328.2555544
2019-11-01T09:54:03.000Z,3.9141552,165864757.942281,944423206.4421164
2019-11-01T09:59:07.000Z,3.91535629,165457218.911569,944713011.3959364
2019-11-01T10:04:02.000Z,3.90584707,164664460.104013,942418587.1574522
2019-11-01T10:09:10.000Z,3.90850835,163187392.773867,943060711.4477485
2019-11-01T10:14:04.000Z,3.91328051,163154452.433901,944212158.0368683
2019-11-01T10:19:09.000Z,3.91416259,162424534.99685,944424991.2057348
2019-11-01T10:24:02.000Z,3.91744196,162232733.12893,945216250.9866695
2019-11-01T10:29:04.000Z,3.9204698,162159914.899616,945946819.3003997
2019-11-01T10:34:04.000Z,3.91944365,161743223.819516,945699224.9083161
2019-11-01T10:39:04.000Z,3.91758247,161447669.922744,945250153.376211
2019-11-01T10:44:05.000Z,3.91101753,161203468.723504,943666137.6529849
2019-11-01T10:49:07.000Z,3.93262238,162250778.923071,948879044.2169112
2019-11-01T10:54:05.000Z,3.93520456,162636218.946517,949502082.0029098
2019-11-01T10:59:03.000Z,3.92741232,162471527.374042,947621939.2422831
2019-11-01T11:04:03.000Z,3.92951675,162204128.277414,948129703.0054107
2019-11-01T11:09:06.000Z,3.93380928,162046992.756803,949165422.5053656
2019-11-01T11:14:03.000Z,3.93563237,162531971.541682,949605306.7685663
2019-11-01T11:19:04.000Z,3.91343861,162789120.718211,944250305.3004556
2019-11-01T11:24:08.000Z,3.91793785,164698996.609273,945335899.6630368
2019-11-01T11:29:01.000Z,3.92365938,164763126.256731,946716413.0889143
2019-11-01T11:34:03.000Z,3.91472373,164705809.558828,944560385.4468433
2019-11-01T11:39:06.000Z,3.91583356,164802762.171423,944828167.4671012
2019-11-01T11:44:02.000Z,3.92997353,165399110.675191,948239917.2270188
2019-11-01T11:49:05.000Z,3.93650415,165520632.676005,949815653.215788
2019-11-01T11:54:06.000Z,3.9323116,165274533.513758,948804056.7785014
2019-11-01T11:59:07.000Z,3.93219742,163995663.783544,948776506.1335882
2019-11-01T12:04:06.000Z,3.93791821,162928409.130629,950156842.1722599
2019-11-01T12:09:02.000Z,3.9310267,160371829.045463,948494030.8414005
2019-11-01T12:14:04.000Z,3.93292199,157329930.07246,948951333.0549159
2019-11-01T12:19:03.000Z,3.95254604,152759255.020173,953686303.9807473
